Name,Classification,Item Level,Type,Set Name,From,"Item
DB Record",record
Homados,MonsterInfrequent Legendary,69.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_l_machaemelee.dbr,b'records\\xpack\\item\\equipmentarmor\\torsomi_l_machaemelee.dbr'
Anexartitos,Legendary,59.0,WeaponArmor_Shield,,TQ Immortal Throne,xpack/u_e_001.dbr,b'records\\xpack\\item\\equipmentweapons\\shieldu_e_001.dbr'
Ether Blade,Epic,42.0,WeaponMelee_Sword,,TQ,u_e_spiritcaller.dbr,b'records\\item\\equipmentweapon\\swordu_e_spiritcaller.dbr'
Kelpie Vambrace,MonsterInfrequent Epic,58.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/mi_e_kelpie.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandmi_e_kelpie.dbr'
Embodiment of Cernunnos' Majesty,Common,,ItemRelic,,TQ Ragnarok,xpack2/02_act5_cernunnosmajesty.dbr,b'records\\xpack2\\item\\relics02_act5_cernunnosmajesty.dbr'
Mongol Chakrams,MonsterInfrequent Legendary,2.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/mi_l_tigerman.dbr,b'records\\xpack2\\item\\equipmentweapons\\1hrangedmi_l_tigerman.dbr'
Gloves of the Crimson Guard,Epic,33.0,ArmorProtective_Forearm,,TQ Immortal Throne,xpack/u_n_002.dbr,b'records\\xpack\\item\\equipmentarmor\\armbandu_n_002.dbr'
Breastplate of the Firewalker,Epic,39.0,ArmorProtective_UpperBody,Firewalker's Suit,TQ,us_e_firewalker'ssuit.dbr,"b""records\\item\\equipmentarmorus_e_firewalker'ssuit.dbr"""
Glowing Rod,Epic,8.0,WeaponMagical_Staff,,TQ,u_n_glowingrod.dbr,b'records\\item\\equipmentweapon\\staffu_n_glowingrod.dbr'
Legendary Lupine Claw,Common,,ItemCharm,,TQ,03_act2_lupineclaw.dbr,b'records\\item\\animalrelics03_act2_lupineclaw.dbr'
Blacksteel Bracers,MonsterInfrequent Legendary,79.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/mi_l_eldjotun.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandmi_l_eldjotun.dbr'
Mora-Go's Armor,Legendary,53.0,ArmorProtective_UpperBody,,TQ,u_e_morago'sarmor.dbr,"b""records\\item\\equipmentarmoru_e_morago'sarmor.dbr"""
Assassin's Shroud,Legendary,68.0,ArmorProtective_Head,Assassin's Cover,TQ,us_l_assassin'scover.dbr,"b""records\\item\\equipmenthelmus_l_assassin'scover.dbr"""
Essence of Li-Nezha's Guile,Common,,ItemRelic,,TQ,01_act3_linezhasguile.dbr,b'records\\item\\relics01_act3_linezhasguile.dbr'
Teucer's Warbow,Legendary,53.0,WeaponHunting_Bow,,TQ,u_e_teucer'swarbow.dbr,"b""records\\item\\equipmentweapon\\bowu_e_teucer'swarbow.dbr"""
Deathwing Helmet,MonsterInfrequent Epic,46.0,ArmorProtective_Head,,TQ,mi_e_deserthag.dbr,b'records\\item\\equipmenthelmmi_e_deserthag.dbr'
Tiger Claw,MonsterInfrequent Epic,49.0,WeaponMelee_Axe,,TQ,mi_e_tigermanchampion.dbr,b'records\\item\\equipmentweapon\\axemi_e_tigermanchampion.dbr'
Megalesios' Veil,MonsterInfrequent Epic,43.0,ArmorProtective_UpperBody,,TQ,mi_e_telkine.dbr,b'records\\item\\equipmentarmormi_e_telkine.dbr'
Summoner's Totem,Lesser,5.0,ItemArtifact,,TQ Immortal Throne,xpack/e_la_summonerstotem.dbr,b'records\\xpack\\item\\artifactse_la_summonerstotem.dbr'
Arcane Formula ~ Carnyx,Lesser,,ItemArtifactFormula,,TQ Ragnarok,xpack2/n_la_carnyx_formula.dbr,b'records\\xpack2\\item\\artifacts\\arcaneformulaen_la_carnyx_formula.dbr'
Arcane Formula ~ Thoth's Glory,Divine,,ItemArtifactFormula,,TQ Immortal Throne,xpack/l_da_thothsglory_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulael_da_thothsglory_formula.dbr'
Bear Rider's Leggings,MonsterInfrequent Epic,59.0,ArmorProtective_LowerBody,,TQ Ragnarok,xpack2/mi_e_yerren.dbr,b'records\\xpack2\\item\\equipmentarmor\\greavesmi_e_yerren.dbr'
Windswept Greaves,MonsterInfrequent Legendary,66.0,ArmorProtective_LowerBody,,TQ,mi_l_duneraider.dbr,b'records\\item\\equipmentgreavesmi_l_duneraider.dbr'
Brute's Plate,MonsterInfrequent Legendary,59.0,ArmorProtective_UpperBody,,TQ,mi_l_satyrbrute.dbr,b'records\\item\\equipmentarmormi_l_satyrbrute.dbr'
Amen-Ra's Magebane,Legendary,65.0,WeaponMelee_Sword,,TQ,u_l_amenra'smagebane.dbr,"b""records\\item\\equipmentweapon\\swordu_l_amenra'smagebane.dbr"""
Achilles' Spear,Legendary,68.0,WeaponHunting_Spear,Patroclus' Disguise,TQ,u_l_achilles'spear.dbr,"b""records\\item\\equipmentweapon\\spearu_l_achilles'spear.dbr"""
The Pointed Helmet,Epic,37.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/u_n_05.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmu_n_05.dbr'
Thoth's Mark,Legendary,50.0,ArmorJewelry_Ring,Thoth's Favor,TQ,u_e_thoth'smark.dbr,"b""records\\item\\equipmentringu_e_thoth'smark.dbr"""
Dvalinn's Simulacrum,Greater,5.0,ItemArtifact,,TQ Ragnarok,xpack2/n_ga_dvalinsimulacrum.dbr,b'records\\xpack2\\item\\artifactsn_ga_dvalinsimulacrum.dbr'
Spinebreaker,Legendary,53.0,WeaponMelee_Mace,,TQ,u_e_spinebreaker.dbr,b'records\\item\\equipmentweapon\\clubu_e_spinebreaker.dbr'
Myrmigki Leggings,MonsterInfrequent Legendary,67.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_l_formicidmage01.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesmi_l_formicidmage01.dbr'
Tiger Claw,MonsterInfrequent Normal,25.0,WeaponMelee_Axe,,TQ,mi_n_tigermanchampion.dbr,b'records\\item\\equipmentweapon\\axemi_n_tigermanchampion.dbr'
Soldier's Skullplate,MonsterInfrequent Epic,56.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/mi_e_formicidmelee01.dbr,b'records\\xpack\\item\\equipmentarmor\\helmmi_e_formicidmelee01.dbr'
Boar Hide,Common,,ItemCharm,,TQ,01_act1_boarshide.dbr,b'records\\item\\animalrelics01_act1_boarshide.dbr'
Cerberus' Bone,Epic,33.0,WeaponMelee_Mace,,TQ Immortal Throne,xpack/u_n_001.dbr,b'records\\xpack\\item\\equipmentweapons\\clubu_n_001.dbr'
Rhesus' Whitewashed Armor,Legendary,53.0,ArmorProtective_UpperBody,,TQ,u_e_rhesus'whitewashedarmor.dbr,"b""records\\item\\equipmentarmoru_e_rhesus'whitewashedarmor.dbr"""
Pyromancer's Bracelet,Epic,42.0,ArmorProtective_Forearm,Pyromancer's Guard,TQ,usm_e_pyromancer'sguard.dbr,"b""records\\item\\equipmentarmbandusm_e_pyromancer'sguard.dbr"""
Thaumaturgist's Winding,Epic,33.0,ArmorProtective_Forearm,,TQ Immortal Throne,xpack/um_n_003.dbr,b'records\\xpack\\item\\equipmentarmor\\armbandum_n_003.dbr'
Soldier's Skullplate,MonsterInfrequent Normal,32.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/mi_n_formicidmelee01.dbr,b'records\\xpack\\item\\equipmentarmor\\helmmi_n_formicidmelee01.dbr'
Troll's Sticker,MonsterInfrequent Normal,35.0,WeaponHunting_Spear,,TQ Ragnarok,xpack2/mi_n_troll.dbr,b'records\\xpack2\\item\\equipmentweapons\\spearmi_n_troll.dbr'
Areithous' Mace,Legendary,65.0,WeaponMelee_Mace,,TQ,u_l_areithous'mace.dbr,"b""records\\item\\equipmentweapon\\clubu_l_areithous'mace.dbr"""
Rancor,MonsterInfrequent Legendary,74.0,WeaponMelee_Mace,,TQ Immortal Throne,xpack/mi_l_gigantes.dbr,b'records\\xpack\\item\\equipmentweapons\\clubmi_l_gigantes.dbr'
Phobos,Legendary,68.0,ArmorProtective_Forearm,Children of Ares,TQ,us_l_childrenofares.dbr,b'records\\item\\equipmentarmbandus_l_childrenofares.dbr'
Soldier's Unyielding Will,MonsterInfrequent Epic,53.0,WeaponArmor_Shield,,TQ Immortal Throne,xpack/mi_e_formicid.dbr,b'records\\xpack\\item\\equipmentweapons\\shieldmi_e_formicid.dbr'
Arcane Formula ~ Eye of Ra,Divine,,ItemArtifactFormula,,TQ Immortal Throne,xpack/l_da_eyeofra_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulael_da_eyeofra_formula.dbr'
Legionnaire's Gauntlets,Legendary,75.0,ArmorProtective_Forearm,Armament of the Fiery Legion,TQ Immortal Throne,xpack/us_l_001.dbr,b'records\\xpack\\item\\equipmentarmor\\armbandus_l_001.dbr'
Arcane Formula ~ Glorybringer,Greater,,ItemArtifactFormula,,TQ Immortal Throne,xpack/l_ga_doxakalo_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulael_ga_doxakalo_formula.dbr'
Folg,MonsterInfrequent Normal,31.0,WeaponMelee_Mace,,TQ Immortal Throne,xpack/mi_n_troglodyte.dbr,b'records\\xpack\\item\\equipmentweapons\\clubmi_n_troglodyte.dbr'
Blacksteel Executioner,MonsterInfrequent Normal,38.0,WeaponMelee_Sword,,TQ Ragnarok,xpack2/mi_n_eldjotun.dbr,b'records\\xpack2\\item\\equipmentweapons\\swordmi_n_eldjotun.dbr'
Thunderbolt,Legendary,65.0,WeaponMelee_Sword,,TQ,u_l_thunderbolt.dbr,b'records\\item\\equipmentweapon\\swordu_l_thunderbolt.dbr'
Agamemnon's Death Mask,Legendary,71.0,ArmorProtective_Head,,TQ,u_l_agamemnon'sdeathmask.dbr,"b""records\\item\\equipmenthelmu_l_agamemnon'sdeathmask.dbr"""
Vengeance,MonsterInfrequent Epic,57.0,WeaponArmor_Shield,,TQ Immortal Throne,xpack/mi_e_gigantes.dbr,b'records\\xpack\\item\\equipmentweapons\\shieldmi_e_gigantes.dbr'
Bracelet of Illumination,Epic,39.0,ArmorProtective_Forearm,,TQ,um_e_braceletofillumination.dbr,b'records\\item\\equipmentarmbandum_e_braceletofillumination.dbr'
Overseer's Mantle,MonsterInfrequent Legendary,63.0,ArmorProtective_UpperBody,,TQ,mi_l_reptilian.dbr,b'records\\item\\equipmentarmormi_l_reptilian.dbr'
Spectral Rod,Epic,24.0,WeaponMagical_Staff,,TQ,u_n_spectralrod.dbr,b'records\\item\\equipmentweapon\\staffu_n_spectralrod.dbr'
Alcyoneus’ Gauntlets,MonsterInfrequent Epic,59.0,ArmorProtective_Forearm,,TQ Immortal Throne,xpack/mi_e_gigantesmelee02.dbr,b'records\\xpack\\item\\equipmentarmor\\armbandmi_e_gigantesmelee02.dbr'
Arcane Formula ~ Star Heart,Lesser,,ItemArtifactFormula,,TQ Immortal Throne,xpack/n_la_starheart_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulaen_la_starheart_formula.dbr'
Mantis Helm,Epic,26.0,ArmorProtective_Head,Safeguard of the Mantis,TQ,us_n_safeguardofthemantis.dbr,b'records\\item\\equipmenthelmus_n_safeguardofthemantis.dbr'
Loratian Greaves,Epic,42.0,ArmorProtective_LowerBody,,TQ,um_e_loratiangreaves.dbr,b'records\\item\\equipmentgreavesum_e_loratiangreaves.dbr'
Frostshield Talisman,Epic,46.0,ArmorJewelry_Amulet,,TQ,u_e_frostshieldtalisman.dbr,b'records\\item\\equipmentamuletu_e_frostshieldtalisman.dbr'
Tendon Ripper,Epic,24.0,WeaponHunting_Bow,,TQ,u_n_tendonripper.dbr,b'records\\item\\equipmentweapon\\bowu_n_tendonripper.dbr'
Yin,Epic,28.0,WeaponMelee_Sword,Imperial Raiment,TQ,us_n_imperialraiment01.dbr,b'records\\item\\equipmentweapon\\swordus_n_imperialraiment01.dbr'
Ch'kra's Vestment,MonsterInfrequent Normal,32.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_n_formicidmage02.dbr,b'records\\xpack\\item\\equipmentarmor\\torsomi_n_formicidmage02.dbr'
Timaios,Legendary,50.0,ArmorJewelry_Ring,Gladiator's Creed,TQ,us_e_gladiator'screed02.dbr,"b""records\\item\\equipmentringus_e_gladiator'screed02.dbr"""
Blacksteel Plate,MonsterInfrequent Legendary,79.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_l_eldjotun.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsomi_l_eldjotun.dbr'
Kelpie Vambrace,MonsterInfrequent Legendary,77.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/mi_l_kelpie.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandmi_l_kelpie.dbr'
Staff of Elysium,Legendary,65.0,WeaponMagical_Staff,,TQ,u_l_staffofelysium.dbr,b'records\\item\\equipmentweapon\\staffu_l_staffofelysium.dbr'
Epic Eitr,Common,,ItemCharm,,TQ Ragnarok,xpack2/02_act5_eitr.dbr,b'records\\xpack2\\item\\charms02_act5_eitr.dbr'
Gjallarhorn,Greater,5.0,ItemArtifact,,TQ Ragnarok,xpack2/e_ga_gjallarhorn.dbr,b'records\\xpack2\\item\\artifactse_ga_gjallarhorn.dbr'
Alexander's Greaves,Legendary,71.0,ArmorProtective_LowerBody,Alexander's Panoply,TQ,us_l_alexander'spanoply.dbr,"b""records\\item\\equipmentgreavesus_l_alexander'spanoply.dbr"""
Huo Qubing's Ceremonial Blade,Legendary,65.0,WeaponMelee_Sword,Huo Qubing's Relics,TQ,us_l_huoqubing'srelics.dbr,"b""records\\item\\equipmentweapon\\swordus_l_huoqubing'srelics.dbr"""
Embodiment of Set's Betrayal,Common,,ItemRelic,,TQ,02_act2_setsbetrayal.dbr,b'records\\item\\relics02_act2_setsbetrayal.dbr'
Mantle of Panacea,Epic,24.0,ArmorProtective_UpperBody,,TQ,u_n_mantleofpanacea.dbr,b'records\\item\\equipmentarmoru_n_mantleofpanacea.dbr'
Bonebreaker Bracelets,MonsterInfrequent Epic,57.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/mi_e_troll.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandmi_e_troll.dbr'
Palioxis,MonsterInfrequent Normal,,ArmorProtective_Forearm,,TQ Immortal Throne,xpack/mi_n_machaemelee.dbr,b'records\\xpack\\item\\equipmentarmor\\armbandmi_n_machaemelee.dbr'
Blade of Ishtar,Epic,47.0,WeaponMelee_Sword,,TQ,u_e_bladeofishtar.dbr,b'records\\item\\equipmentweapon\\swordu_e_bladeofishtar.dbr'
Overseer's Crest,MonsterInfrequent Epic,45.0,ArmorProtective_Forearm,,TQ,mi_e_reptilian.dbr,b'records\\item\\equipmentarmbandmi_e_reptilian.dbr'
Shavo's Relic,Legendary,63.0,ArmorJewelry_Amulet,,TQ,u_l_shavo'srelic.dbr,"b""records\\item\\equipmentamuletu_l_shavo'srelic.dbr"""
Apple Bearer's Spear,Epic,39.0,WeaponHunting_Spear,Armor of the Immortal Guard,TQ,us_e_armoroftheimmortalguard.dbr,b'records\\item\\equipmentweapon\\spearus_e_armoroftheimmortalguard.dbr'
Myrmigki Crown,MonsterInfrequent Epic,54.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/mi_e_formicidmage01.dbr,b'records\\xpack\\item\\equipmentarmor\\helmmi_e_formicidmage01.dbr'
Deshret,Epic,20.0,WeaponHunting_Spear,,TQ,u_n_deshret.dbr,b'records\\item\\equipmentweapon\\spearu_n_deshret.dbr'
Marauder's Armguard,MonsterInfrequent Epic,49.0,ArmorProtective_Forearm,,TQ,mi_e_neanderthalmelee.dbr,b'records\\item\\equipmentarmbandmi_e_neanderthalmelee.dbr'
Icescale Armor,MonsterInfrequent Normal,36.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_n_fjordmelee.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsomi_n_fjordmelee.dbr'
Ker's Fetish,MonsterInfrequent Normal,31.0,WeaponMagical_Staff,,TQ Immortal Throne,xpack/mi_n_keres.dbr,b'records\\xpack\\item\\equipmentweapons\\staffmi_n_keres.dbr'
Myrmidon's Sting,MonsterInfrequent Normal,30.0,WeaponMelee_Axe,,TQ Immortal Throne,xpack/mi_n_formicid.dbr,b'records\\xpack\\item\\equipmentweapons\\axemi_n_formicid.dbr'
Arcane Formula ~ Elemental Rage,Greater,,ItemArtifactFormula,,TQ Immortal Throne,xpack/l_ga_elementalrage_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulael_ga_elementalrage_formula.dbr'
Lycergus' Wisdom,Epic,16.0,WeaponMelee_Mace,,TQ,u_n_lycergus'wisdom.dbr,"b""records\\item\\equipmentweapon\\clubu_n_lycergus'wisdom.dbr"""
Tiger Claw,MonsterInfrequent Legendary,67.0,WeaponMelee_Axe,,TQ,mi_l_tigermanchampion.dbr,b'records\\item\\equipmentweapon\\axemi_l_tigermanchampion.dbr'
Windswept Bracers,MonsterInfrequent Normal,16.0,ArmorProtective_Forearm,,TQ,mi_n_duneraider.dbr,b'records\\item\\equipmentarmbandmi_n_duneraider.dbr'
Disposition,Epic,33.0,ArmorJewelry_Ring,,TQ Immortal Throne,xpack/u_n_001.dbr,b'records\\xpack\\item\\equipmentarmor\\ringu_n_001.dbr'
Iris,Legendary,75.0,WeaponMelee_Mace,,TQ Immortal Throne,xpack/u_l_002.dbr,b'records\\xpack\\item\\equipmentweapons\\clubu_l_002.dbr'
Arcane Formula ~ Soul Shiver,Lesser,,ItemArtifactFormula,,TQ Immortal Throne,xpack/n_la_soulshiver_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulaen_la_soulshiver_formula.dbr'
Abyssal Plate,Legendary,65.0,ArmorProtective_UpperBody,Abyssal Armor,TQ,us_l_abyssalarmor.dbr,b'records\\item\\equipmentarmorus_l_abyssalarmor.dbr'
Diary of a Teenage Maenad,Epic,,ItemEquipment,,TQ Immortal Throne,xpack/parchment13.dbr,b'records\\xpack\\item\\parchmentsparchment13.dbr'
Arcane Formula ~ Cinderbolt,Lesser,,ItemArtifactFormula,,TQ Immortal Throne,xpack/n_la_cinderbolt_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulaen_la_cinderbolt_formula.dbr'
Conqueror's Bracers,Legendary,68.0,ArmorProtective_Forearm,Conqueror's Panoply,TQ,us_l_conqueror'spanoply.dbr,"b""records\\item\\equipmentarmbandus_l_conqueror'spanoply.dbr"""
Vest of Aericura,Epic,38.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/u_n_01.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsou_n_01.dbr'
Charioteer's Quiver,Epic,20.0,ArmorProtective_UpperBody,,TQ,u_n_charioteer'squiver.dbr,"b""records\\item\\equipmentarmoru_n_charioteer'squiver.dbr"""
Leggings of the Defiled,Legendary,59.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/um_e_003.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesum_e_003.dbr'
Essence of Anubis' Wrath,Common,,ItemRelic,,TQ,01_act2_anubiswrath.dbr,b'records\\item\\relics01_act2_anubiswrath.dbr'
Ismene's Helm,MonsterInfrequent Epic,54.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/mi_e_lamiamelee.dbr,b'records\\xpack\\item\\equipmentarmor\\helmmi_e_lamiamelee.dbr'
Heka Staff,Legendary,53.0,WeaponMagical_Staff,,TQ,u_e_hekastaff.dbr,b'records\\item\\equipmentweapon\\staffu_e_hekastaff.dbr'
Boots of Alfheim,MonsterInfrequent Normal,38.0,ArmorProtective_LowerBody,,TQ Ragnarok,xpack2/mi_n_alfr.dbr,b'records\\xpack2\\item\\equipmentarmor\\greavesmi_n_alfr.dbr'
Kinslay,MonsterInfrequent Legendary,62.0,WeaponMelee_Axe,,TQ,mi_l_minotaurlord.dbr,b'records\\item\\equipmentweapon\\axemi_l_minotaurlord.dbr'
Nidbow,Legendary,77.0,WeaponHunting_Bow,,TQ Ragnarok,xpack2/u_l_03.dbr,b'records\\xpack2\\item\\equipmentweapons\\bowu_l_03.dbr'
Letter from Beastman Archer #783,Epic,,ItemEquipment,,TQ Immortal Throne,xpack/parchment01.dbr,b'records\\xpack\\item\\parchmentsparchment01.dbr'
Alala,MonsterInfrequent Normal,32.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/mi_n_machaemelee.dbr,b'records\\xpack\\item\\equipmentarmor\\helmmi_n_machaemelee.dbr'
Essence of the Rage of Ares,Common,,ItemRelic,,TQ Immortal Throne,xpack/01_act4_rageofares.dbr,b'records\\xpack\\item\\relics01_act4_rageofares.dbr'
Warchief's Leggings,MonsterInfrequent Normal,25.0,ArmorProtective_LowerBody,,TQ,mi_n_yerren.dbr,b'records\\item\\equipmentgreavesmi_n_yerren.dbr'
Do-Maru,Epic,49.0,ArmorProtective_UpperBody,,TQ,u_e_do-maru.dbr,b'records\\item\\equipmentarmoru_e_do-maru.dbr'
Doom Herald,Epic,39.0,WeaponMelee_Mace,,TQ,u_e_doomherald.dbr,b'records\\item\\equipmentweapon\\clubu_e_doomherald.dbr'
Traitor's Shiv,Epic,8.0,WeaponMelee_Sword,,TQ,u_n_traitor'sshiv.dbr,"b""records\\item\\equipmentweapon\\swordu_n_traitor'sshiv.dbr"""
Sigurd's Cloak,Epic,38.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/u_n_03.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsou_n_03.dbr'
Magma,Epic,49.0,ArmorProtective_UpperBody,,TQ,u_e_magma.dbr,b'records\\item\\equipmentarmoru_e_magma.dbr'
Thialfi's Studded Vest,Epic,37.0,ArmorProtective_UpperBody,Thialfi's Studded Leathers,TQ Ragnarok,xpack2/u_n_02.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsou_n_02.dbr'
Ismene's Cuirass,MonsterInfrequent Normal,32.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_n_lamiamelee.dbr,b'records\\xpack\\item\\equipmentarmor\\torsomi_n_lamiamelee.dbr'
Cestus,Legendary,59.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/um_e_001.dbr,b'records\\xpack\\item\\equipmentarmor\\torsoum_e_001.dbr'
Ramses' Coat,Epic,20.0,ArmorProtective_UpperBody,Ramses' Royal Armor,TQ,us_n_ramses'royalarmor.dbr,"b""records\\item\\equipmentarmorus_n_ramses'royalarmor.dbr"""
Rune of Najo-Ja,Legendary,56.0,ArmorJewelry_Amulet,,TQ Immortal Throne,xpack/u_e_001.dbr,b'records\\xpack\\item\\equipmentarmor\\amuletu_e_001.dbr'
Ceremonial Armor,MonsterInfrequent Epic,44.0,ArmorProtective_UpperBody,,TQ,mi_e_mummy.dbr,b'records\\item\\equipmentarmormi_e_mummy.dbr'
Plate of Toutatis,Legendary,79.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/u_l_01.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsou_l_01.dbr'
Embodiment of the Rage of Ares,Common,,ItemRelic,,TQ Immortal Throne,xpack/02_act4_rageofares.dbr,b'records\\xpack\\item\\relics02_act4_rageofares.dbr'
Cuirass of Retribution,Epic,39.0,ArmorProtective_UpperBody,,TQ,u_e_cuirassofretribution.dbr,b'records\\item\\equipmentarmoru_e_cuirassofretribution.dbr'
Brisingamen,Legendary,79.0,ArmorJewelry_Amulet,Freyja's Panoply,TQ Ragnarok,xpack2/usm_l_freyja.dbr,b'records\\xpack2\\item\\equipmentarmor\\amuletusm_l_freyja.dbr'
Grace of the Alfar,Legendary,79.0,ArmorJewelry_Ring,,TQ Ragnarok,xpack2/u_l_001.dbr,b'records\\xpack2\\item\\equipmentarmor\\ringu_l_001.dbr'
Sword of Covu,Legendary,75.0,WeaponMelee_Sword,,TQ Immortal Throne,xpack/u_l_003.dbr,b'records\\xpack\\item\\equipmentweapons\\swordu_l_003.dbr'
Eye of Ra,Divine,5.0,ItemArtifact,,TQ Immortal Throne,xpack/l_da_eyeofra.dbr,b'records\\xpack\\item\\artifactsl_da_eyeofra.dbr'
Taklamakan Leggings,Epic,47.0,ArmorProtective_LowerBody,,TQ,um_e_taklamakanleggings.dbr,b'records\\item\\equipmentgreavesum_e_taklamakanleggings.dbr'
Hera's Shield,Legendary,62.0,WeaponArmor_Shield,,TQ,u_l_hera'sshield.dbr,"b""records\\item\\equipmentshieldu_l_hera'sshield.dbr"""
Arcane Formula ~ Fury of the Ages,Greater,,ItemArtifactFormula,,TQ Immortal Throne,xpack/n_ga_furyoftheages_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulaen_ga_furyoftheages_formula.dbr'
Ismene's Helm,MonsterInfrequent Legendary,67.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/mi_l_lamiamelee.dbr,b'records\\xpack\\item\\equipmentarmor\\helmmi_l_lamiamelee.dbr'
Raptor Tooth,Common,,ItemCharm,,TQ,01_act3_raptortooth.dbr,b'records\\item\\animalrelics01_act3_raptortooth.dbr'
Tiresias' Guide,Legendary,59.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/um_e_001.dbr,b'records\\xpack\\item\\equipmentarmor\\helmum_e_001.dbr'
Adept's Clasp,Epic,49.0,ArmorProtective_Forearm,Adept's Regalia,TQ,usm_e_adept'sregalia.dbr,"b""records\\item\\equipmentarmbandusm_e_adept'sregalia.dbr"""
Ichthian Oracle's Vestment,MonsterInfrequent Legendary,66.0,ArmorProtective_UpperBody,,TQ,mi_l_ichthianmage.dbr,b'records\\item\\equipmentarmormi_l_ichthianmage.dbr'
Tunic of Alfheim,MonsterInfrequent Legendary,79.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_l_alfr.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsomi_l_alfr.dbr'
Marauder's Greaves,MonsterInfrequent Legendary,70.0,ArmorProtective_LowerBody,,TQ,mi_l_neanderthalmelee.dbr,b'records\\item\\equipmentgreavesmi_l_neanderthalmelee.dbr'
Kelpie Cuisse,MonsterInfrequent Epic,58.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_e_kelpie.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsomi_e_kelpie.dbr'
Legendary Saber Claw,Common,,ItemCharm,,TQ,03_act3_saberclaw.dbr,b'records\\item\\animalrelics03_act3_saberclaw.dbr'
Eye of Flame,Legendary,50.0,ArmorJewelry_Amulet,,TQ,u_e_eyeofflame.dbr,b'records\\item\\equipmentamuletu_e_eyeofflame.dbr'
Troll's Splitter,MonsterInfrequent Epic,57.0,WeaponMelee_Axe,,TQ Ragnarok,xpack2/mi_e_troll.dbr,b'records\\xpack2\\item\\equipmentweapons\\axemi_e_troll.dbr'
Bloodborn Armbands,MonsterInfrequent Legendary,71.0,ArmorProtective_Forearm,,TQ Immortal Throne,xpack/mi_l_melinoemage.dbr,b'records\\xpack\\item\\equipmentarmor\\armbandmi_l_melinoemage.dbr'
Prowler's Cuffs,MonsterInfrequent Epic,49.0,ArmorProtective_Forearm,,TQ,mi_e_tigermanmelee.dbr,b'records\\item\\equipmentarmbandmi_e_tigermanmelee.dbr'
Essence of Herakles' Might,Common,,ItemRelic,,TQ,01_act1_heraclesmight.dbr,b'records\\item\\relics01_act1_heraclesmight.dbr'
Arcane Formula ~ Molten Orb,Lesser,,ItemArtifactFormula,,TQ Immortal Throne,xpack/n_la_moltenorb_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulaen_la_moltenorb_formula.dbr'
