,Name,Classification,Item Level,Type,Set Name,From,"Item
DB Record",record
1153,Greaves of the Tempest,Epic,47.0,ArmorProtective_LowerBody,Tempest,TQ,us_e_tempest.dbr,b'records\\item\\equipmentgreavesus_e_tempest.dbr'
1154,Ichthian Harpoon,MonsterInfrequent Normal,22.0,WeaponHunting_Spear,,TQ,mi_n_ichthianmelee.dbr,b'records\\item\\equipmentweapon\\spearmi_n_ichthianmelee.dbr'
1155,Lævateinn,Legendary,79.0,WeaponMelee_Sword,,TQ Ragnarok,xpack2/u_l_03.dbr,b'records\\xpack2\\item\\equipmentweapons\\swordu_l_03.dbr'
1156,Legendary Golem Heart,Common,,ItemCharm,,TQ Ragnarok,xpack2/03_act5_golemheart.dbr,b'records\\xpack2\\item\\charms03_act5_golemheart.dbr'
1157,Arcane Formula ~ Hand of Gaia,Greater,,ItemArtifactFormula,,TQ Immortal Throne,xpack/e_ga_handofgaea_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulaee_ga_handofgaea_formula.dbr'
1158,Helmet of Valhalla,Legendary,79.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/u_l_01.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmu_l_01.dbr'
1159,Finger of Charon,Epic,32.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/u_n_12.dbr,b'records\\xpack2\\item\\equipmentweapons\\1hrangedu_n_12.dbr'
1160,Incarnation of Epona's Horses,Common,,ItemRelic,,TQ Ragnarok,xpack2/03_act5_eponashorses.dbr,b'records\\xpack2\\item\\relics03_act5_eponashorses.dbr'
1161,Marauder's Bone Axe,MonsterInfrequent Legendary,67.0,WeaponMelee_Axe,,TQ,mi_l_neanderthalmelee.dbr,b'records\\item\\equipmentweapon\\axemi_l_neanderthalmelee.dbr'
1162,Hydarnes' Shield,Epic,13.0,WeaponArmor_Shield,,TQ,u_n_hydarnes'shield.dbr,"b""records\\item\\equipmentshieldu_n_hydarnes'shield.dbr"""
1163,Wrath of Jǫrmungandr,Legendary,63.0,WeaponHunting_Bow,,TQ Ragnarok,xpack2/u_e_02.dbr,b'records\\xpack2\\item\\equipmentweapons\\bowu_e_02.dbr'
1164,Trollwrestler Greaves,Legendary,77.0,ArmorProtective_LowerBody,,TQ Ragnarok,xpack2/u_l_03.dbr,b'records\\xpack2\\item\\equipmentarmor\\greavesu_l_03.dbr'
1165,Bracelets of the Deep,MonsterInfrequent Epic,58.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/mi_e_fjordmage.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandmi_e_fjordmage.dbr'
1166,Kondoran Girdle,Legendary,53.0,ArmorProtective_UpperBody,,TQ,u_e_kondorangirdle.dbr,b'records\\item\\equipmentarmoru_e_kondorangirdle.dbr'
1167,Armor of the Phantom,Legendary,72.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/u_l_001.dbr,b'records\\xpack\\item\\equipmentarmor\\torsou_l_001.dbr'
1168,Night-terror Wraps,Legendary,75.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/um_l_001.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesum_l_001.dbr'
1169,Marauder's Bone Axe,MonsterInfrequent Normal,24.0,WeaponMelee_Axe,,TQ,mi_n_neanderthalmelee.dbr,b'records\\item\\equipmentweapon\\axemi_n_neanderthalmelee.dbr'
1170,Freyja's Coronet,Legendary,79.0,ArmorProtective_Head,Freyja's Panoply,TQ Ragnarok,xpack2/usm_l_freyja.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmusm_l_freyja.dbr'
1171,Polyphemus' Tenderizer,MonsterInfrequent Normal,9.0,WeaponMelee_Mace,,TQ,mi_n_cyclops.dbr,b'records\\item\\equipmentweapon\\clubmi_n_cyclops.dbr'
1172,Hag's Skin,Common,,ItemCharm,,TQ,01_act2_hagsskin.dbr,b'records\\item\\animalrelics01_act2_hagsskin.dbr'
1173,Deathweaver's Legtip,MonsterInfrequent Normal,9.0,WeaponMelee_Sword,,TQ,mi_n_arachnos.dbr,b'records\\item\\equipmentweapon\\swordmi_n_arachnos.dbr'
1174,Shaman's Adornment,MonsterInfrequent Legendary,67.0,ArmorProtective_UpperBody,,TQ,mi_l_neanderthalmage.dbr,b'records\\item\\equipmentarmormi_l_neanderthalmage.dbr'
1175,Lamia Grocery List,Epic,,ItemEquipment,,TQ Immortal Throne,xpack/parchment08.dbr,b'records\\xpack\\item\\parchmentsparchment08.dbr'
1176,Bonecaster Shawl,MonsterInfrequent Normal,35.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_n_trollmage.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsomi_n_trollmage.dbr'
1177,Batrachos Bracers,MonsterInfrequent Legendary,68.0,ArmorProtective_Forearm,,TQ Immortal Throne,xpack/mi_l_anouranmelee.dbr,b'records\\xpack\\item\\equipmentarmor\\armbandmi_l_anouranmelee.dbr'
1178,Jade Band,Epic,28.0,ArmorJewelry_Ring,Jade Jewellery,TQ,u_n_jadeband.dbr,b'records\\item\\equipmentringu_n_jadeband.dbr'
1179,Takeshi's Kimono,Epic,49.0,ArmorProtective_UpperBody,,TQ,u_e_takeshi's kimono.dbr,"b""records\\item\\equipmentarmoru_e_takeshi's kimono.dbr"""
1180,Warrior's Bracers,Epic,49.0,ArmorProtective_Forearm,Warrior's Panoply,TQ,us_e_warrior'spanoply.dbr,"b""records\\item\\equipmentarmbandus_e_warrior'spanoply.dbr"""
1181,Anaplekte's Skullcap,MonsterInfrequent Epic,57.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/mi_e_keresmelee.dbr,b'records\\xpack\\item\\equipmentarmor\\helmmi_e_keresmelee.dbr'
1182,Certhas' Plate,Legendary,53.0,ArmorProtective_UpperBody,,TQ,u_e_certhas'plate.dbr,"b""records\\item\\equipmentarmoru_e_certhas'plate.dbr"""
1183,Harbinger's Breastplate,Epic,56.0,ArmorProtective_UpperBody,The Harbinger,TQ Immortal Throne,xpack/us_e_004.dbr,b'records\\xpack\\item\\equipmentarmor\\torsous_e_004.dbr'
1184,Porphyrion's Breastplate,MonsterInfrequent Normal,32.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_n_gigantesmelee.dbr,b'records\\xpack\\item\\equipmentarmor\\torsomi_n_gigantesmelee.dbr'
1185,Shadow's Touch,Epic,47.0,ArmorProtective_Forearm,Shadow Guard,TQ,us_e_shadowguard.dbr,b'records\\item\\equipmentarmbandus_e_shadowguard.dbr'
1186,Welcome to Undeath!,Epic,,ItemEquipment,,TQ Immortal Throne,xpack/parchment09.dbr,b'records\\xpack\\item\\parchmentsparchment09.dbr'
1187,Skyrta of Orvar-Oddr,Legendary,61.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/u_e_01.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsou_e_01.dbr'
1188,Cloak of Fimbulvinter,Legendary,61.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/u_e_03.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsou_e_03.dbr'
1189,Juque,Epic,24.0,WeaponMelee_Sword,,TQ,u_n_juque.dbr,b'records\\item\\equipmentweapon\\swordu_n_juque.dbr'
1190,Incarnation of the Jade Emperor's Serenity,Common,,ItemRelic,,TQ,03_act3_jadeemperorsserenity.dbr,b'records\\item\\relics03_act3_jadeemperorsserenity.dbr'
1191,Prowler's Cuffs,MonsterInfrequent Normal,25.0,ArmorProtective_Forearm,,TQ,mi_n_tigermanmelee.dbr,b'records\\item\\equipmentarmbandmi_n_tigermanmelee.dbr'
1192,Ichthian Aegis,MonsterInfrequent Legendary,66.0,ArmorProtective_UpperBody,,TQ,mi_l_ichthianmelee.dbr,b'records\\item\\equipmentarmormi_l_ichthianmelee.dbr'
1193,Sabertooth,MonsterInfrequent Legendary,67.0,WeaponMelee_Sword,,TQ,mi_l_tigermanmelee.dbr,b'records\\item\\equipmentweapon\\swordmi_l_tigermanmelee.dbr'
1194,Soul Quencher,Epic,47.0,WeaponMagical_Staff,Umbral Raiment,TQ,u_e_soulquencher.dbr,b'records\\item\\equipmentweapon\\staffu_e_soulquencher.dbr'
1195,Dune Raider Knives,MonsterInfrequent Legendary,2.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/mi_l_duneraider.dbr,b'records\\xpack2\\item\\equipmentweapons\\1hrangedmi_l_duneraider.dbr'
1196,Deathweaver's Chitin,MonsterInfrequent Epic,39.0,ArmorProtective_UpperBody,,TQ,mi_e_arachnos.dbr,b'records\\item\\equipmentarmormi_e_arachnos.dbr'
1197,Living Band,Epic,24.0,ArmorJewelry_Ring,,TQ,u_n_livingband.dbr,b'records\\item\\equipmentringu_n_livingband.dbr'
1198,Battlemage Robe,Legendary,53.0,ArmorProtective_UpperBody,Vestments of the Battlemage,TQ,usm_e_vestmentsofthebattlemage.dbr,b'records\\item\\equipmentarmorusm_e_vestmentsofthebattlemage.dbr'
1199,Conqueror's Buskin,Legendary,71.0,ArmorProtective_LowerBody,Conqueror's Panoply,TQ,us_l_conqueror'spanoply.dbr,"b""records\\item\\equipmentgreavesus_l_conqueror'spanoply.dbr"""
1200,The Frail,Epic,26.0,ArmorProtective_Forearm,Ronzer's Gift,TQ,usm_n_ronzer'sgift.dbr,"b""records\\item\\equipmentarmbandusm_n_ronzer'sgift.dbr"""
1201,Dvergr Runestones,MonsterInfrequent Legendary,78.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/mi_l_dvergr.dbr,b'records\\xpack2\\item\\equipmentweapons\\1hrangedmi_l_dvergr.dbr'
1202,Mantis Plate,Epic,26.0,ArmorProtective_UpperBody,Safeguard of the Mantis,TQ,us_n_safeguardofthemantis.dbr,b'records\\item\\equipmentarmorus_n_safeguardofthemantis.dbr'
1203,Qin Warbow,Legendary,65.0,WeaponHunting_Bow,,TQ,u_l_qinwarbow.dbr,b'records\\item\\equipmentweapon\\bowu_l_qinwarbow.dbr'
1204,Shield of the Restless King,MonsterInfrequent Normal,36.0,WeaponArmor_Shield,,TQ Ragnarok,xpack2/mi_n_draugr.dbr,b'records\\xpack2\\item\\equipmentweapons\\shieldmi_n_draugr.dbr'
1205,Essence of Epona's Horses,Common,,ItemRelic,,TQ Ragnarok,xpack2/01_act5_eponashorses.dbr,b'records\\xpack2\\item\\relics01_act5_eponashorses.dbr'
1206,"Morbius, the Ramrod",Legendary,59.0,WeaponMelee_Mace,,TQ Immortal Throne,xpack/u_e_001.dbr,b'records\\xpack\\item\\equipmentweapons\\clubu_e_001.dbr'
1207,Embodiment of the Jade Emperor's Serenity,Common,,ItemRelic,,TQ,02_act3_jadeemperorsserenity.dbr,b'records\\item\\relics02_act3_jadeemperorsserenity.dbr'
1208,Ring of the Dragon Hunter,Legendary,63.0,ArmorJewelry_Ring,,TQ Ragnarok,xpack2/u_e_001.dbr,b'records\\xpack2\\item\\equipmentarmor\\ringu_e_001.dbr'
1209,Ullr's Protectors,Epic,63.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/u_e_04.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandu_e_04.dbr'
1210,Essence of Cernunnos' Majesty,Common,,ItemRelic,,TQ Ragnarok,xpack2/01_act5_cernunnosmajesty.dbr,b'records\\xpack2\\item\\relics01_act5_cernunnosmajesty.dbr'
1211,Bear Rider's Bracers,MonsterInfrequent Normal,37.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/mi_n_yerren.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandmi_n_yerren.dbr'
1212,Icescale Bracers,MonsterInfrequent Epic,58.0,ArmorProtective_Forearm,,TQ Ragnarok,xpack2/mi_e_fjordmelee.dbr,b'records\\xpack2\\item\\equipmentarmor\\armbandmi_e_fjordmelee.dbr'
1213,Arcane Formula ~ Shadow Veil,Greater,,ItemArtifactFormula,,TQ Immortal Throne,xpack/n_ga_shadowveil_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulaen_ga_shadowveil_formula.dbr'
1214,Lady Y-ab's Scarab,Epic,20.0,ArmorJewelry_Amulet,,TQ,u_n_ladyy-ab'sscarab.dbr,"b""records\\item\\equipmentamuletu_n_ladyy-ab'sscarab.dbr"""
1215,Sleepwalker's Stride,Legendary,59.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/um_e_001.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesum_e_001.dbr'
1216,Soul Feast,Epic,12.0,WeaponMelee_Mace,,TQ,u_n_soulfeast.dbr,b'records\\item\\equipmentweapon\\clubu_n_soulfeast.dbr'
1217,Horns of Cyprus,Epic,16.0,WeaponHunting_Bow,,TQ,u_n_hornsofcyprus.dbr,b'records\\item\\equipmentweapon\\bowu_n_hornsofcyprus.dbr'
1218,Blacksteel Greaves,MonsterInfrequent Epic,60.0,ArmorProtective_LowerBody,,TQ Ragnarok,xpack2/mi_e_eldjotun.dbr,b'records\\xpack2\\item\\equipmentarmor\\greavesmi_e_eldjotun.dbr'
1219,Crystal of Erebus,Common,,ItemCharm,,TQ Immortal Throne,xpack/01_act4_erebancrystal.dbr,b'records\\xpack\\item\\charms01_act4_erebancrystal.dbr'
1220,Arcane Formula ~ Dark Core,Lesser,,ItemArtifactFormula,,TQ Immortal Throne,xpack/e_la_darkcore_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulaee_la_darkcore_formula.dbr'
1221,Dvergr-Forged Longsword,MonsterInfrequent Epic,59.0,WeaponMelee_Sword,,TQ Ragnarok,xpack2/mi_e_dvergr.dbr,b'records\\xpack2\\item\\equipmentweapons\\swordmi_e_dvergr.dbr'
1222,Incarnation of Donar's Hammer,Common,,ItemRelic,,TQ Ragnarok,xpack2/03_act5_donarshammer.dbr,b'records\\xpack2\\item\\relics03_act5_donarshammer.dbr'
1223,Mantle of Amun-Ra,Legendary,68.0,ArmorProtective_UpperBody,,TQ,um_l_mantleofamunra.dbr,b'records\\item\\equipmentarmorum_l_mantleofamunra.dbr'
1224,Warden's Wrath,Epic,42.0,WeaponMelee_Mace,Warden's Charge,TQ,us_e_warden'scharge.dbr,"b""records\\item\\equipmentweapon\\clubus_e_warden'scharge.dbr"""
1225,Jackal's Wristguard,MonsterInfrequent Epic,44.0,ArmorProtective_Forearm,,TQ,mi_e_jackalmanmelee.dbr,b'records\\item\\equipmentarmbandmi_e_jackalmanmelee.dbr'
1226,Arcane Formula ~ Effigy of the Panther,Lesser,,ItemArtifactFormula,,TQ Immortal Throne,xpack/l_la_effigyofthepanther_formula.dbr,b'records\\xpack\\item\\artifacts\\arcaneformulael_la_effigyofthepanther_formula.dbr'
1227,Psionic Projector,Epic,33.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/um_n_002.dbr,b'records\\xpack\\item\\equipmentarmor\\helmum_n_002.dbr'
1228,Ramses' Coil,Epic,20.0,ArmorProtective_Forearm,Ramses' Royal Armor,TQ,us_n_ramses'royalarmor.dbr,"b""records\\item\\equipmentarmbandus_n_ramses'royalarmor.dbr"""
1229,Ichthian Aegis,MonsterInfrequent Normal,22.0,ArmorProtective_UpperBody,,TQ,mi_n_ichthianmelee.dbr,b'records\\item\\equipmentarmormi_n_ichthianmelee.dbr'
1230,Trickster's Tunic,Epic,16.0,ArmorProtective_UpperBody,,TQ,u_n_tricksterstunic.dbr,b'records\\item\\equipmentarmoru_n_tricksterstunic.dbr'
1231,Babylonian Shield,Epic,25.0,WeaponArmor_Shield,Babylonian Raiment,TQ,us_n_babylonianraiment.dbr,b'records\\item\\equipmentshieldus_n_babylonianraiment.dbr'
1232,Armor of the Tempest,Epic,47.0,ArmorProtective_UpperBody,Tempest,TQ,us_e_tempest.dbr,b'records\\item\\equipmentarmorus_e_tempest.dbr'
1233,Teutoburg Tunic,Epic,37.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/u_n_05.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsou_n_05.dbr'
1234,Demeter's Sorrow,Legendary,53.0,WeaponMelee_Mace,,TQ,u_e_demeter'ssorrow.dbr,"b""records\\item\\equipmentweapon\\clubu_e_demeter'ssorrow.dbr"""
1235,Essence of the Stew of Eldhrimnir,Common,,ItemRelic,,TQ Ragnarok,xpack2/01_act5_stewofeldhrimnir.dbr,b'records\\xpack2\\item\\relics01_act5_stewofeldhrimnir.dbr'
1236,Myrmidon's Legplate,MonsterInfrequent Legendary,70.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_l_formicidmelee02.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesmi_l_formicidmelee02.dbr'
1237,Essence of Archimedes' Mirror,Common,,ItemRelic,,TQ,01_act1_archimedesmirror.dbr,b'records\\item\\relics01_act1_archimedesmirror.dbr'
1238,Coat of the Chosen,MonsterInfrequent Normal,35.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_n_nerthusshaman.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsomi_n_nerthusshaman.dbr'
1239,Legendary Spiny Shell,Common,,ItemCharm,,TQ Immortal Throne,xpack/03_act4_spinyshell.dbr,b'records\\xpack\\item\\charms03_act4_spinyshell.dbr'
1240,Mikros,Epic,20.0,WeaponMelee_Axe,,TQ,u_n_mikros.dbr,b'records\\item\\equipmentweapon\\axeu_n_mikros.dbr'
1241,Breastplate of Morte,Epic,33.0,ArmorProtective_UpperBody,Panoply of the Moirae,TQ Immortal Throne,xpack/us_n_001.dbr,b'records\\xpack\\item\\equipmentarmor\\torsous_n_001.dbr'
1242,Tyrfing,Legendary,79.0,WeaponMelee_Sword,,TQ Ragnarok,xpack2/u_l_02.dbr,b'records\\xpack2\\item\\equipmentweapons\\swordu_l_02.dbr'
1243,Prospector Rod,MonsterInfrequent Epic,59.0,WeaponMagical_Staff,,TQ Ragnarok,xpack2/mi_e_dvergr.dbr,b'records\\xpack2\\item\\equipmentweapons\\staffmi_e_dvergr.dbr'
1244,Incarnation of the Domain of the Dragon-Kings,Common,,ItemRelic,,TQ,03_act3_dragonkingsdomain.dbr,b'records\\item\\relics03_act3_dragonkingsdomain.dbr'
1245,Outrider's Skullcap,MonsterInfrequent Epic,56.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/mi_e_centaur.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmmi_e_centaur.dbr'
1246,Essence of the Cunning of Odysseus,Common,,ItemRelic,,TQ Immortal Throne,xpack/01_act4_cunningofoddyseus.dbr,b'records\\xpack\\item\\relics01_act4_cunningofoddyseus.dbr'
1247,Dienekes' Iron Boots,Epic,33.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/u_n_001.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesu_n_001.dbr'
1248,Pavise Shield,Epic,26.0,WeaponArmor_Shield,,TQ,u_n_paviseshield.dbr,b'records\\item\\equipmentshieldu_n_paviseshield.dbr'
1249,Essence of the Djed of Osiris,Common,,ItemRelic,,TQ,01_act2_djedofosiris.dbr,b'records\\item\\relics01_act2_djedofosiris.dbr'
1250,Staff of the Magi,MonsterInfrequent Epic,34.0,WeaponMagical_Staff,,TQ,mi_e_satyrmage.dbr,b'records\\item\\equipmentweapon\\staffmi_e_satyrmage.dbr'
1251,Warrior's Plate,Epic,49.0,ArmorProtective_UpperBody,Warrior's Panoply,TQ,us_e_warrior'spanoply.dbr,"b""records\\item\\equipmentarmorus_e_warrior'spanoply.dbr"""
1252,The Jackal's Festering Garb,Epic,16.0,ArmorProtective_UpperBody,,TQ,u_n_thejackel'sfesteringgarb.dbr,"b""records\\item\\equipmentarmoru_n_thejackel'sfesteringgarb.dbr"""
1253,The Amazing Artius,Epic,,ItemEquipment,,TQ Immortal Throne,xpack/parchment15.dbr,b'records\\xpack\\item\\parchmentsparchment15.dbr'
1254,Shield of Anguish,Epic,33.0,WeaponArmor_Shield,Panoply of the Moirae,TQ Immortal Throne,xpack/us_n_001.dbr,b'records\\xpack\\item\\equipmentweapons\\shieldus_n_001.dbr'
1255,Bloodborn Leggings,MonsterInfrequent Legendary,71.0,ArmorProtective_LowerBody,,TQ Immortal Throne,xpack/mi_l_melinoemage.dbr,b'records\\xpack\\item\\equipmentarmor\\greavesmi_l_melinoemage.dbr'
1256,Sentinel's Helm,MonsterInfrequent Legendary,64.0,ArmorProtective_Head,,TQ,mi_l_gorgonmelee.dbr,b'records\\item\\equipmenthelmmi_l_gorgonmelee.dbr'
1257,Theseus' Inheritance,Legendary,65.0,WeaponMelee_Sword,,TQ,u_l_theseus'inheritance.dbr,"b""records\\item\\equipmentweapon\\swordu_l_theseus'inheritance.dbr"""
1258,Ravager,Epic,28.0,WeaponMelee_Mace,,TQ,u_n_ravager.dbr,b'records\\item\\equipmentweapon\\clubu_n_ravager.dbr'
1259,Staff of the Chosen,MonsterInfrequent Epic,57.0,WeaponMagical_Staff,,TQ Ragnarok,xpack2/mi_e_nerthusshaman.dbr,b'records\\xpack2\\item\\equipmentweapons\\staffmi_e_nerthusshaman.dbr'
1260,Epic Pristine Plumage,Common,,ItemCharm,,TQ,02_act1_pristineplumage.dbr,b'records\\item\\animalrelics02_act1_pristineplumage.dbr'
1261,Troll's Cutter,MonsterInfrequent Epic,57.0,WeaponMelee_Sword,,TQ Ragnarok,xpack2/mi_e_troll.dbr,b'records\\xpack2\\item\\equipmentweapons\\swordmi_e_troll.dbr'
1262,Alcyoneus’ Breastplate,MonsterInfrequent Normal,32.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_n_gigantesmelee02.dbr,b'records\\xpack\\item\\equipmentarmor\\torsomi_n_gigantesmelee02.dbr'
1263,Revenant Greaves,MonsterInfrequent Epic,48.0,ArmorProtective_LowerBody,,TQ,mi_e_goldenskeleton.dbr,b'records\\item\\equipmentgreavesmi_e_goldenskeleton.dbr'
1264,Raging Bull,Epic,16.0,WeaponMelee_Axe,,TQ,u_n_ragingbull.dbr,b'records\\item\\equipmentweapon\\axeu_n_ragingbull.dbr'
1265,Legendary Hag's Skin,Common,,ItemCharm,,TQ,03_act2_hagsskin.dbr,b'records\\item\\animalrelics03_act2_hagsskin.dbr'
1266,Oath Breaker,Epic,42.0,WeaponMelee_Sword,,TQ,u_e_oathbreaker.dbr,b'records\\item\\equipmentweapon\\swordu_e_oathbreaker.dbr'
1267,Archmage's Clasp,Legendary,68.0,ArmorProtective_Forearm,Archmage's Regalia,TQ,usm_l_archmage'sregalia.dbr,"b""records\\item\\equipmentarmbandusm_l_archmage'sregalia.dbr"""
1268,Marbod's Mask,Epic,38.0,ArmorProtective_Head,,TQ Ragnarok,xpack2/u_n_02.dbr,b'records\\xpack2\\item\\equipmentarmor\\helmu_n_02.dbr'
1269,Revenant Greaves,MonsterInfrequent Normal,17.0,ArmorProtective_LowerBody,,TQ,mi_n_goldenskeleton.dbr,b'records\\item\\equipmentgreavesmi_n_goldenskeleton.dbr'
1270,The Owl,Epic,37.0,WeaponMelee_Axe,,TQ Ragnarok,xpack2/u_n_03.dbr,b'records\\xpack2\\item\\equipmentweapons\\axeu_n_03.dbr'
1271,Hector's Shimmering Shield,Legendary,59.0,WeaponArmor_Shield,Hector's Bronze Armor,TQ,u_l_hectorsshimmeringshield.dbr,b'records\\item\\equipmentshieldu_l_hectorsshimmeringshield.dbr'
1272,Ch'kra's Vestment,MonsterInfrequent Legendary,68.0,ArmorProtective_UpperBody,,TQ Immortal Throne,xpack/mi_l_formicidmage02.dbr,b'records\\xpack\\item\\equipmentarmor\\torsomi_l_formicidmage02.dbr'
1273,Shifting Beads,Epic,36.0,ArmorJewelry_Amulet,,TQ,u_e_shiftingbeads.dbr,b'records\\item\\equipmentamuletu_e_shiftingbeads.dbr'
1274,Drakaina,Legendary,75.0,WeaponMelee_Sword,,TQ Immortal Throne,xpack/u_l_001.dbr,b'records\\xpack\\item\\equipmentweapons\\swordu_l_001.dbr'
1275,Sentinel's Helm,MonsterInfrequent Normal,12.0,ArmorProtective_Head,,TQ,mi_n_gorgonmelee.dbr,b'records\\item\\equipmenthelmmi_n_gorgonmelee.dbr'
1276,Maiden's Kiss,Lesser,5.0,ItemArtifact,,TQ Immortal Throne,xpack/l_la_maidenskiss.dbr,b'records\\xpack\\item\\artifactsl_la_maidenskiss.dbr'
1277,Abyssal Shield,Legendary,59.0,WeaponArmor_Shield,Abyssal Armor,TQ,us_l_abyssalarmor.dbr,b'records\\item\\equipmentshieldus_l_abyssalarmor.dbr'
1278,Bonebreaker Greaves,MonsterInfrequent Legendary,76.0,ArmorProtective_LowerBody,,TQ Ragnarok,xpack2/mi_l_troll.dbr,b'records\\xpack2\\item\\equipmentarmor\\greavesmi_l_troll.dbr'
1279,Shroud of Eternal Night,Lesser,5.0,ItemArtifact,,TQ Immortal Throne,xpack/n_la_shroudofeternalnight.dbr,b'records\\xpack\\item\\artifactsn_la_shroudofeternalnight.dbr'
1280,Will of Horus,Epic,16.0,WeaponHunting_RangedOneHand,,TQ Ragnarok,xpack2/u_n_04.dbr,b'records\\xpack2\\item\\equipmentweapons\\1hrangedu_n_04.dbr'
1281,Legendary Eitr,Common,,ItemCharm,,TQ Ragnarok,xpack2/03_act5_eitr.dbr,b'records\\xpack2\\item\\charms03_act5_eitr.dbr'
1282,Babeizi Gi,Legendary,65.0,ArmorProtective_UpperBody,,TQ,u_l_babeizigi.dbr,b'records\\item\\equipmentarmoru_l_babeizigi.dbr'
1283,Essence of Styx,Legendary,64.0,ArmorJewelry_Amulet,,TQ,u_l_essenceofstyx.dbr,b'records\\item\\equipmentamuletu_l_essenceofstyx.dbr'
1284,Shadowrath,Epic,33.0,WeaponHunting_Bow,,TQ Immortal Throne,xpack/u_n_003.dbr,b'records\\xpack\\item\\equipmentweapons\\bowu_n_003.dbr'
1285,Storm Strike,Epic,12.0,WeaponHunting_Bow,,TQ,u_n_stormstrike.dbr,b'records\\item\\equipmentweapon\\bowu_n_stormstrike.dbr'
1286,Icescale Armor,MonsterInfrequent Legendary,77.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_l_fjordmelee.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsomi_l_fjordmelee.dbr'
1287,Thump,Epic,39.0,WeaponMelee_Mace,,TQ,u_e_thump.dbr,b'records\\item\\equipmentweapon\\clubu_e_thump.dbr'
1288,Legendary Primal Magma,Common,,ItemCharm,,TQ Ragnarok,xpack2/03_act5_primalmagma.dbr,b'records\\xpack2\\item\\charms03_act5_primalmagma.dbr'
1289,Meriones' Bow,Epic,49.0,WeaponHunting_Bow,,TQ,u_e_meriones'bow.dbr,"b""records\\item\\equipmentweapon\\bowu_e_meriones'bow.dbr"""
1290,Plissken,Legendary,59.0,WeaponMelee_Sword,,TQ Immortal Throne,xpack/u_e_001.dbr,b'records\\xpack\\item\\equipmentweapons\\swordu_e_001.dbr'
1291,Boar Hunter's Shield,Epic,8.0,WeaponArmor_Shield,,TQ,u_n_boarhunter'sshield.dbr,"b""records\\item\\equipmentshieldu_n_boarhunter'sshield.dbr"""
1292,Babylonian Armor,Epic,24.0,ArmorProtective_UpperBody,Babylonian Raiment,TQ,us_n_babylonianraiment.dbr,b'records\\item\\equipmentarmorus_n_babylonianraiment.dbr'
1293,Porphyrion's Helm,MonsterInfrequent Legendary,71.0,ArmorProtective_Head,,TQ Immortal Throne,xpack/mi_l_gigantesmelee01.dbr,b'records\\xpack\\item\\equipmentarmor\\helmmi_l_gigantesmelee01.dbr'
1294,Bear Rider's Garb,MonsterInfrequent Normal,37.0,ArmorProtective_UpperBody,,TQ Ragnarok,xpack2/mi_n_yerren.dbr,b'records\\xpack2\\item\\equipmentarmor\\torsomi_n_yerren.dbr'
